OrderNumber,WarehouseStatus,CustOrderNum,ItemNumber,Warehouse,OrderQty,ShippedQty,CancelQty
S8288716,Picking,#24083245,W51436R013,AS,1,0,0
S8288690,Waved,#24083244,N7011F00012OZ,AS,1,0,0
S8288690,Waved,#24083244,W51432R038420,AS,1,0,0
S8288738,Waved,#24083247,W5630R054423,AS,1,0,0
S8288738,Waved,#24083247,W2763R032993,AS,1,0,0
S8288738,Waved,#24083247,A0648U044811,AS,1,0,0
S8288738,Waved,#24083247,W3732R044811,AS,1,0,0
S8288738,Waved,#24083247,W2675RG063563,AS,1,0,0
S8288738,Waved,#24083247,W51154R038423,AS,1,0,0
S8288738,Waved,#24083247,W51154R044813,AS,1,0,0
S8288752,Waved,#24083250,W54172R063552,AS,1,0,0
S8288752,Waved,#24083250,W9811R063552,AS,1,0,0
S8288758,Waved,#24083253,W3438R038421,AS,1,0,0
S8288758,Waved,#24083253,W5784R038421,AS,1,0,0
S8288770,Manifested,#24083254,N7011F00012OZ,AS,1,0,0
S8288770,Manifested,#24083254,W54232R063354,AS,1,0,0
S8288773,Accepted,#24083256,A0480U01002,AS,1,0,0
S8288773,Accepted,#24083256,U5012RG010,AS,1,0,0
S8288773,Accepted,#24083256,U3031RG011,AS,1,0,0
S8288786,Accepted,#24083258,W51432R013,AS,1,0,0
S8288976,Waved,EXCHL-23958956-1,W6543R002,AS,1,0,0
S8288976,Waved,EXCHL-23958956-1,W6480R002,AS,1,0,0
S8288976,Waved,EXCHL-23958956-1,W6273R002,AS,1,0,0
TY288972,Accepted,EXCHL-23958956-1,W6480R063262,AYS049,1,0,0
S8288813,Waved,#24083261,W54211R029102,AS,1,0,0
S8288813,Waved,#24083261,W54187R044812,AS,1,0,0
S8288813,Waved,#24083261,W2737R044812,AS,1,0,0
S8288813,Waved,#24083261,W6334R044812,AS,1,0,0
S8288826,Waved,#24083264,B1014F000150ML,AS,1,0,0
V8288823,accepted,#24083267,W51432R012,AV,1,0,0
S8288838,Waved,#24083271,A0467U011,AS,1,0,0
S8288838,Waved,#24083271,A0685U0100050,AS,1,0,0
S8288844,Waved,#24083275,W6240R013,AS,1,0,0
S8288846,Accepted,#24083282,M6131R055413,AS,1,0,0
S8288846,Accepted,#24083282,M1205R030403,AS,1,0,0
S8288847,Waved,#24083283,M1251R040643,AS,1,0,0
S8288847,Waved,#24083283,W51432R011,AS,6,0,0
S8288853,Waved,#24083285,U3041RG014,AS,1,0,0
S8288900,Waved,#24083287,U3031RG054423,AS,1,0,0
S8288870,Waved,#24083290,U5012RG013,AS,1,0,0
S8288870,Waved,#24083290,M6122R013,AS,1,0,0
S8288870,Waved,#24083290,M1224R040643,AS,1,0,0
S8288870,Waved,#24083290,M6131R013,AS,1,0,0
S8288878,Accepted,#24083289,W1406R038422,AS,1,0,0
S8288878,Accepted,#24083289,W7066R018581,AS,1,0,0
S8288878,Accepted,#24083289,W51432R038420,AS,1,0,0
S8288878,Accepted,#24083289,W2675RG01001,AS,1,0,0
S8288878,Accepted,#24083289,W51298R01000,AS,1,0,0
