Count of Order Id,Org Id,Order Id,Order Name,Line Id,Product Id,Location Id,Fulfillment Id,Status,Order Date PST,Order Shipment Line Units in Status,Order Line Type,Status Entered Time PST,Current Time PST,Open For Hours Order Date,Open For Hours Status Entered Time,Status Updated Time
1532,ALO,6485324398951,#23259996,13,B2M37G00011,AV,6485324398951_AV_567,RELEASED,2025-05-27 17:05:14,1.0,SALES,2025-06-21 05:02:15,2025-07-01 10:05:56,588,245,2025-06-21 12:02:15
1532,ALO,6485324398951,#23259996,3,W6334R012,AV,6485324398951_AV_567,RELEASED,2025-05-27 17:05:14,1.0,PREORDER,2025-06-21 05:02:15,2025-07-01 10:05:56,588,245,2025-06-21 12:02:15
1532,ALO,6485324398951,#23259996,9,A0214U041011,AV,6485324398951_AV_567,RELEASED,2025-05-27 17:05:14,1.0,SALES,2025-06-21 05:02:15,2025-07-01 10:05:56,588,245,2025-06-21 12:02:15
1532,ALO,6485330198887,#23260157,4,A0214U041011,AM,6485330198887_AM_130,RELEASED,2025-05-27 17:12:17,1.0,SALES,2025-06-05 05:04:57,2025-07-01 10:05:56,204,629,2025-06-05 12:04:57
1532,ALO,6485330198887,#23260157,1,W2737R013,AM,6485330198887_AM_130,RELEASED,2025-05-27 17:12:17,1.0,PREORDER,2025-06-05 05:04:57,2025-07-01 10:05:56,204,629,2025-06-05 12:04:57
1532,ALO,6485350973799,#23260740,4,A0214U041011,AV,6485350973799_AV_481,RELEASED,2025-05-27 17:39:50,1.0,SALES,2025-06-06 05:04:03,2025-07-01 10:05:56,228,605,2025-06-06 12:04:03
1532,ALO,6485355757927,#23260872,1,W6334R013,AV,6485355757927_AV_900,RELEASED,2025-05-27 17:45:56,1.0,PREORDER,2025-06-21 05:02:09,2025-07-01 10:05:56,588,245,2025-06-21 12:02:09
1532,ALO,6485355757927,#23260872,4,A0214U041011,AV,6485355757927_AV_900,RELEASED,2025-05-27 17:45:56,1.0,SALES,2025-06-21 05:02:09,2025-07-01 10:05:56,588,245,2025-06-21 12:02:09
1532,ALO,6485366440295,#23261172,1,W6334R012,AV,6485366440295_AV_211,RELEASED,2025-05-27 18:00:53,1.0,PREORDER,2025-06-21 05:02:02,2025-07-01 10:05:56,587,245,2025-06-21 12:02:02
1532,ALO,6485382857063,#23261639,4,A0214U041011,AV,6485382857063_AV_303,RELEASED,2025-05-27 18:27:35,1.0,SALES,2025-06-21 05:01:13,2025-07-01 10:05:56,587,245,2025-06-21 12:01:13
1532,ALO,6485382857063,#23261639,2,W6334R012,AV,6485382857063_AV_303,RELEASED,2025-05-27 18:27:35,1.0,PREORDER,2025-06-21 05:01:13,2025-07-01 10:05:56,587,245,2025-06-21 12:01:13
1532,ALO,6485384626535,#23261690,4,A0214U041011,AV,6485384626535_AV_947,RELEASED,2025-05-27 18:30:21,1.0,SALES,2025-06-10 05:03:59,2025-07-01 10:05:56,323,509,2025-06-10 12:03:59
1532,ALO,6485417197927,#23262619,4,A0214U011,AV,6485417197927_AV_926,RELEASED,2025-05-27 19:32:18,1.0,SALES,2025-06-01 05:05:01,2025-07-01 10:05:56,106,725,2025-06-01 12:05:01
1532,ALO,6485417197927,#23262619,6,B2M33G200011,AV,6485417197927_AV_926,RELEASED,2025-05-27 19:32:18,1.0,SALES,2025-06-01 05:05:01,2025-07-01 10:05:56,106,725,2025-06-01 12:05:01
1532,ALO,6485448098151,#23263490,6,B2M37G00011,AV,6485448098151_AV_856,RELEASED,2025-05-27 20:48:38,1.0,SALES,2025-06-01 05:04:39,2025-07-01 10:05:56,105,725,2025-06-01 12:04:39
1532,ALO,6485456028007,#23263709,1,W7066R018581,AV,6485456028007_AV_672,PICKED,2025-05-27 21:17:15,1.0,SALES,2025-06-01 05:38:45,2025-07-01 10:05:56,104,725,2025-06-01 12:38:45
1532,ALO,6485512028519,#23265103,5,W6334R011,AV,6485512028519_AV_875,RELEASED,2025-05-28 03:51:44,1.0,PREORDER,2025-06-10 04:03:26,2025-07-01 10:05:56,313,510,2025-06-10 11:03:26
1532,ALO,6485521236327,#23265337,2,W6334R011,AV,6485521236327_AV_803,RELEASED,2025-05-28 04:50:19,1.0,PREORDER,2025-06-10 04:03:50,2025-07-01 10:05:56,312,510,2025-06-10 11:03:50
1532,ALO,6485521236327,#23265337,1,W6334R012,AV,6485521236327_AV_538,RELEASED,2025-05-28 04:50:19,1.0,PREORDER,2025-06-21 04:01:06,2025-07-01 10:05:56,576,246,2025-06-21 11:01:06
1532,ALO,6485526118759,#23265461,1,W6334R012,AV,6485526118759_AV_383,RELEASED,2025-05-28 05:21:12,1.0,PREORDER,2025-06-21 05:01:46,2025-07-01 10:05:56,576,245,2025-06-21 12:01:46
1532,ALO,6485530247527,#23265572,3,A0357U064703,AV,6485530247527_AV_692,PICKED,2025-05-28 05:39:44,2.0,SALES,2025-05-28 07:18:42,2025-07-01 10:05:56,2,819,2025-05-28 14:18:42
1532,ALO,6485542797671,#23265909,3,W8278R056172,AV,6485542797671_AV_873,RELEASED,2025-05-28 06:37:13,1.0,PREORDER,2025-06-03 05:05:42,2025-07-01 10:05:56,143,677,2025-06-03 12:05:42
1532,ALO,6485547549031,#23266040,7,W9730R013,AV,6485547549031_AV_906,RELEASED,2025-05-28 06:54:20,1.0,PREORDER,2025-05-31 05:05:16,2025-07-01 10:05:56,71,749,2025-05-31 12:05:16
1532,ALO,6485547549031,#23266040,5,W6334R012,AV,6485547549031_AV_992,PICKED,2025-05-28 06:54:20,1.0,PREORDER,2025-06-26 08:19:02,2025-07-01 10:05:56,698,122,2025-06-26 15:19:02
1532,ALO,6485566128487,#23266536,3,W6334R038423,AV,6485566128487_AV_163,RELEASED,2025-05-28 07:43:22,1.0,PREORDER,2025-06-10 05:04:20,2025-07-01 10:05:56,310,509,2025-06-10 12:04:20
